Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Time2,Rep1.Notes,Rep2.Notes
Bleached,W117,A099,NA,NA,20160616,NA,NA,NA,NA,NA,NA,NA,BL,NA,,
Nonbleached,W118,A100,Cohort13,High,20160616,21:00,630,1818,0.653,588,1772,0.668,BL,22:11,,
Nonbleached,W118,A101,Cohort16,High,20160616,20:13,601,1662,0.638,618,1767,0.65,BL,21:29,,
Nonbleached,W118,A102,Cohort17,High,20160616,21:18,539,1427,0.622,641,1784,0.64,BL,22:31,,
Nonbleached,W118,A103,Cohort14,Ambient,20160616,20:37,519,1497,0.653,667,1772,0.623,BL,21:45,,
Nonbleached,W118,A104,Cohort15,Ambient,20160616,20:28,609,1629,0.626,670,1805,0.628,BL,21:40,,
Nonbleached,W118,A105,Cohort11,Ambient,20160616,21:06,515,1410,0.634,673,1905,0.646,BL,22:17,,
Nonbleached,W118,A106,Cohort12,High,20160616,20:55,377,1078,0.65,759,2088,0.636,BL,22:01,,
Nonbleached,W118,A107,Cohort18,Ambient,20160616,21:14,403,1206,0.665,754,1998,0.622,BL,22:25,,
Bleached,W269,A108,Cohort13,High,20160616,20:58,724,2186,0.668,636,1935,0.671,BL,22:02,,
Bleached,W269,A109,Cohort15,Ambient,20160616,20:24,343,961,0.643,479,1299,0.631,BL,21:38,,
Bleached,W269,A110,Cohort11,Ambient,20160616,21:10,478,1313,0.635,593,1907,0.689,BL,22:21,,
Bleached,W269,A111,Cohort16,High,20160616,20:12,625,1914,0.673,571,1844,0.69,BL,21:28,,
Bleached,W269,A112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,,
Bleached,W269,A113,Cohort14,Ambient,20160616,20:43,566,1833,0.691,562,1647,0.658,BL,21:52,,
Bleached,W269,A114,Cohort18,Ambient,20160616,21:14,565,1893,0.701,785,2202,0.643,BL,22:26,,
Bleached,W269,A115,Cohort12,High,20160616,20:46,638,2077,0.692,436,2385,0.817,BL,21:55,,
Bleached,W269,A116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BL,NA,,
Nonbleached,W270,A117,Cohort17,High,20160616,21:21,490,1366,0.641,480,1277,0.624,BL,22:35,,
Nonbleached,W270,A118,Cohort11,Ambient,20160616,21:08,458,1485,0.691,544,1886,0.711,BL,22:20,,
Nonbleached,W270,A119,Cohort14,Ambient,20160616,20:38,507,1574,0.677,519,1845,0.718,BL,21:50,,
Nonbleached,W270,A120,Cohort16,High,20160616,20:20,595,1811,0.671,502,1517,0.669,BL,21:34,,
Nonbleached,W270,A121,Cohort17,High,20160616,21:17,428,1254,0.658,566,1868,0.679,BL,22:29,,
Nonbleached,W270,A122,Cohort13,High,20160616,21:02,516,1638,0.684,604,1941,0.688,BL,22:13,,
Nonbleached,W270,A123,Cohort12,High,20160616,20:54,437,1494,0.707,498,1668,0.701,BL,22:01,,
Nonbleached,W270,A124,Cohort18,Ambient,20160616,21:13,337,1069,0.684,479,1416,0.661,BL,22:25,,
Nonbleached,W270,A125,Cohort15,Ambient,20160616,20:33,564,1847,0.694,558,1784,0.687,BL,21:45,,
