Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,TimePoint,Mass.g,Temp.C,Days,QC,Notes
Bleached,W103,A039,Cohort16,High,20160527,Time3,114.934,27.37,36,AH,
Bleached,W103,A040,Cohort12,High,20160527,Time3,111.979,27.11,37,AH,
Bleached,W103,A041,Cohort13,High,20160527,Time3,163.668,27.16,36,AH,Patches of sponge and algae attached
Bleached,W103,A042,Cohort15,Ambient,20160526,Time3,75.442,26.22,35,AH,
Nonbleached,W262,A043,Cohort11,Ambient,20160526,Time3,46.844,25.81,36,AH,"Partially covered in macroalgae & red sponge, even after removal effort (before weighing)"
Nonbleached,W262,A044,Cohort18,Ambient,20160526,Time3,212.648,25.52,36,AH,
Nonbleached,W262,A045,Cohort12,High,20160527,Time3,62.176,27.03,37,AH,
Nonbleached,W262,A046,Cohort14,Ambient,NA,Time3,NA,NA,NA,AH,Already Removed
Nonbleached,W262,A047,Cohort15,Ambient,20160526,Time3,105.33,26.34,35,AH,
Nonbleached,W262,A048,Cohort13,High,NA,Time3,NA,NA,NA,AH,Already Removed
Nonbleached,W262,A049,Cohort17,High,20160527,Time3,69.492,27.3,36,AH,"Almost dead, very little live tissue left"
Nonbleached,W262,A050,Cohort16,High,20160527,Time3,122.216,27.35,36,AH,Dead? <1cm tissue left
Nonbleached,W106,A051,Cohort13,High,20160527,Time3,39.698,27.02,36,AH,Red sponge
Nonbleached,W106,A052,Cohort14,Ambient,20160526,Time3,45.003,26.74,36,AH,Branch broken; temporarily re-attached
Nonbleached,W106,A053,Cohort11,Ambient,20160527,Time3,43.094,27.29,37,AH,
Nonbleached,W106,A054,Cohort12,High,20160527,Time3,43.862,27.02,37,AH,
Nonbleached,W106,A055,Cohort18,Ambient,20160526,Time3,55.483,25.58,36,AH,
Nonbleached,W106,A056,Cohort16,High,20160527,Time3,65.009,27.22,36,AH,
Nonbleached,W106,A057,Cohort17,High,20160527,Time3,111.867,27.24,36,AH,
Nonbleached,W106,A058,Cohort15,Ambient,20160526,Time3,45.593,26.12,35,AH,
Bleached,W257,A067,Cohort15,Ambient,20160526,Time3,43.819,26.4,35,AH,
Bleached,W257,A068,Cohort14,Ambient,20160526,Time3,39.883,26.69,36,AH,
Bleached,W257,A069,Cohort12,High,20160527,Time3,64.633,27.02,37,AH,
Bleached,W257,A070,Cohort11,Ambient,20160526,Time3,87.749,25.48,36,AH,
Bleached,W257,A071,Cohort13,High,20160527,Time3,77.393,27.03,36,AH,
Bleached,W257,A072,Cohort18,Ambient,NA,Time3,NA,NA,NA,AH,Already Removed
Bleached,W257,A073,Cohort16,High,20160527,Time3,139.169,27.33,36,AH,Red sponge attached
Bleached,W257,A074,Cohort17,High,20160527,Time3,122.269,27.25,36,AH,Red sponge attached
Bleached,W261,A083,Cohort15,Ambient,20160526,Time3,40.643,26.43,35,AH,
Bleached,W261,A084,NA,NA,20160526,Time3,56.903,25.83,36,AH,
Bleached,W261,A085,Cohort17,High,20160527,Time3,56.94,27.24,36,AH,
Bleached,W261,A086,Cohort14,Ambient,20160526,Time3,70.797,26.51,36,AH,
Bleached,W261,A087,Cohort11,Ambient,20160526,Time3,102.766,25.53,36,AH,
Bleached,W261,A088,Cohort16,High,20160527,Time3,86.74,27.29,36,AH,
Bleached,W261,A089,Cohort13,High,20160527,Time3,105.332,27.16,36,AH,
Bleached,W261,A090,Cohort12,High,20160527,Time3,209.449,27.08,37,AH,
Bleached,W117,A091,Cohort14,Ambient,20160526,Time3,83.15,26.55,36,AH,
Bleached,W117,A092,Cohort12,High,20160527,Time3,76.215,27.05,37,AH,
Bleached,W117,A093,Cohort17,High,20160527,Time3,80.223,27.31,36,AH,
Bleached,W117,A094,Cohort18,Ambient,20160526,Time3,127.282,25.58,36,AH,
Bleached,W117,A095,Cohort11,Ambient,20160526,Time3,57.28,25.78,36,AH,
Bleached,W117,A096,Cohort15,Ambient,20160526,Time3,35.317,26.28,35,AH,
Bleached,W117,A097,Cohort13,High,20160527,Time3,35.819,26.97,36,AH,
Bleached,W117,A098,Cohort16,High,20160527,Time3,112.041,27.3,36,AH,
Bleached,W117,A099,NA,NA,NA,Time3,NA,NA,NA,AH,
Nonbleached,W118,A100,Cohort13,High,20160527,Time3,84.839,27.04,36,AH,
Nonbleached,W118,A101,Cohort16,High,20160527,Time3,53.225,27.32,36,AH,
Nonbleached,W118,A102,Cohort17,High,20160527,Time3,49.922,27.21,36,AH,
Nonbleached,W118,A103,Cohort14,Ambient,20160526,Time3,58.45,26.46,36,AH,
Nonbleached,W118,A104,Cohort15,Ambient,20160527,Time3,30.631,27.35,36,AH,
Nonbleached,W118,A105,Cohort11,Ambient,20160526,Time3,115.051,25.6,36,AH,Removed (most of) sea squirt before weighing
Nonbleached,W118,A106,Cohort12,High,20160527,Time3,43.419,27.09,37,AH,
Nonbleached,W118,A107,Cohort18,Ambient,20160526,Time3,115.04,25.77,36,AH,
Bleached,W269,A108,Cohort13,High,20160527,Time3,82.653,27.11,36,AH,
Bleached,W269,A109,Cohort15,Ambient,20160526,Time3,86.445,26.18,35,AH,
Bleached,W269,A110,Cohort11,Ambient,20160527,Time3,46.241,27.24,37,AH,
Bleached,W269,A111,Cohort16,High,20160527,Time3,61.36,27.25,36,AH,
