Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Time_20160605_EggVol,Time_20160605_Bun.Num,Time_20160606_EggVol,Time_20160606_Bun.Num,Time_20160607_EggVol,Time_20160607_Bun.Num,Time_20160704_EggVol,Time_20160704_Bun.Num,Time_20160705_EggVol,Time_20160705_Bun.Num,Time_20160706_EggVol,Time_20160706_Bun.Num,Time_20160802_EggVol,Time_20160802_Bun.Num,Time_20160803_EggVol,Time_20160803_Bun.Num,Time_20160804_EggVol,Time_20160804_Bun.Num
Bleached,W117,A093,Cohort17,High,NA,NA,NA,NA,NA,NA,NA,NA,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A094,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,0.65,5,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A095,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,NA,5,0.4,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A096,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A097,Cohort13,High,NA,NA,NA,NA,NA,NA,0.01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A098,Cohort16,High,0.1,5,NA,NA,NA,NA,0.7,5,0.9,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W117,A099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A100,Cohort13,High,NA,NA,NA,5,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A101,Cohort16,High,NA,NA,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A102,Cohort17,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A103,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A104,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A105,Cohort11,Ambient,NA,NA,NA,NA,0.1,5,NA,NA,0.3,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A106,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W118,A107,Cohort18,Ambient,NA,NA,NA,NA,NA,5,NA,8,0.4,5,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A108,Cohort13,High,NA,NA,NA,4,NA,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A109,Cohort15,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A110,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,1.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A111,Cohort16,High,NA,NA,0.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A113,Cohort14,Ambient,NA,NA,NA,NA,NA,NA,0.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A114,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A115,Cohort12,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bleached,W269,A116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A118,Cohort11,Ambient,NA,NA,NA,NA,NA,NA,0.1,NA,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A119,Cohort14,Ambient,0.2,5,NA,NA,NA,NA,0.6,NA,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A120,Cohort16,High,0.1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A121,Cohort17,High,NA,2,NA,3,NA,3,0.4,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A122,Cohort13,High,NA,NA,NA,8,0.1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A123,Cohort12,High,NA,NA,NA,4,0.05,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A124,Cohort18,Ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonbleached,W270,A125,Cohort15,Ambient,0.05,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
