Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Time2,Rep1.Notes,Rep2.Notes
Nonbleached,W262,A045,Cohort12,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A046,Cohort14,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A047,Cohort15,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A048,Cohort13,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A049,Cohort17,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A050,Cohort16,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A051,Cohort13,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A052,Cohort14,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A053,Cohort11,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A054,Cohort12,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A055,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A056,Cohort16,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A057,Cohort17,High,20160811,20:48,635,1874,0.661,615,1782,0.654,HP,21:58,,
Nonbleached,W106,A058,Cohort15,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W257,A067,Cohort15,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W257,A068,Cohort14,Ambient,20160811,21:23,604,1925,0.686,590,1798,0.671,HP,20:17,,
Bleached,W257,A069,Cohort12,High,20160811,21:06,627,1834,0.658,680,2459,0.662,HP,20:12,,
Bleached,W257,A070,Cohort11,Ambient,20160811,20:40,878,2423,0.637,725,2269,0.68,HP,21:49,,
Bleached,W257,A071,Cohort13,High,20160811,20:08,566,1813,0.687,538,1517,0.645,HP,21:39,,
Bleached,W257,A072,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W257,A073,Cohort16,High,20160811,20:56,667,2214,0.698,723,2364,0.694,HP,21:35,,
Bleached,W257,A074,Cohort17,High,20160811,20:46,667,2004,0.667,606,1838,0.67,HP,21:57,,
Bleached,W261,A083,Cohort15,Ambient,20160811,20:24,654,2099,0.688,644,1951,0.669,HP,21:15,,
Bleached,W261,A084,Cohort18,Ambient,20160811,,,,0.667,,,0.661,HP,,,
Bleached,W261,A085,Cohort17,High,20160811,,,,0.643,,,0.637,HP,,,
Bleached,W261,A086,Cohort14,Ambient,20160811,,,,0.679,,,0.702,HP,,,
Bleached,W261,A087,Cohort11,Ambient,20160811,,,,0.676,,,0.664,HP,,,
Bleached,W261,A088,Cohort16,High,20160811,,,,0.378,,,0.379,HP,,,
Bleached,W261,A089,Cohort13,High,20160811,,,,0.647,,,0.667,HP,,,
Bleached,W261,A090,Cohort12,High,20160811,,,,0.682,,,0.691,HP,,,
Bleached,W117,A091,Cohort14,Ambient,20160811,,,,0.609,,,0.598,HP,,,
Bleached,W117,A092,Cohort12,High,20160811,,,,0.627,,,0.648,HP,,,
Bleached,W117,A093,Cohort17,High,20160811,,,,0.624,,,0.62,HP,,,
Bleached,W117,A094,Cohort18,Ambient,20160811,,,,0.665,,,0.678,HP,,,
Bleached,W117,A095,Cohort11,Ambient,20160811,,,,0.66,,,0.636,HP,,,
Bleached,W117,A096,Cohort15,Ambient,20160811,,,,0.68,,,0.67,HP,,,
Bleached,W117,A097,Cohort13,High,20160811,,,,0.661,,,0.658,HP,,,
Bleached,W117,A098,Cohort16,High,20160811,,,,0.641,,,0.611,HP,,,
Bleached,W117,A099,NA,NA,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W118,A100,Cohort13,High,20160811,,,,0.578,,,0.658,HP,,,
Nonbleached,W118,A101,Cohort16,High,20160811,,,,0.678,,,0.646,HP,,,
Nonbleached,W118,A102,Cohort17,High,20160811,,,,0.632,,,0.639,HP,,,
Nonbleached,W118,A103,Cohort14,Ambient,20160811,,,,0.658,,,0.659,HP,,,
Nonbleached,W118,A104,Cohort15,Ambient,20160811,,,,0.602,,,0.64,HP,,,
Nonbleached,W118,A105,Cohort11,Ambient,20160811,,,,0.633,,,0.631,HP,,,
Nonbleached,W118,A106,Cohort12,High,20160811,,,,0.668,,,0.647,HP,,,
Nonbleached,W118,A107,Cohort18,Ambient,20160811,,,,0.65,,,0.651,HP,,,
Bleached,W269,A108,Cohort13,High,20160811,,,,0.64,,,0.664,HP,,,
Bleached,W269,A109,Cohort15,Ambient,20160811,,,,0.676,,,0.665,HP,,,
Bleached,W269,A110,Cohort11,Ambient,20160811,,,,0.657,,,0.631,HP,,,
Bleached,W269,A111,Cohort16,High,20160811,,,,0.657,,,0.636,HP,,,
Bleached,W269,A112,NA,NA,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W269,A113,Cohort14,Ambient,20160811,,,,0.708,,,0.664,HP,,,
Bleached,W269,A114,Cohort18,Ambient,20160811,,,,0.631,,,0.625,HP,,,
Bleached,W269,A115,Cohort12,High,20160811,,,,0.641,,,0.643,HP,,,
Bleached,W269,A116,NA,NA,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W270,A117,Cohort17,High,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W270,A118,Cohort11,Ambient,20160811,,,,0.653,,,0.68,HP,,,
Nonbleached,W270,A119,Cohort14,Ambient,20160811,,,,0.62,,,0.63,HP,,,
Nonbleached,W270,A120,Cohort16,High,20160811,,,,0.651,,,0.654,HP,,,
Nonbleached,W270,A121,Cohort17,High,20160811,,,,0.686,,,0.678,HP,,,
Nonbleached,W270,A122,Cohort13,High,20160811,,,,0.693,,,0.671,HP,,,
Nonbleached,W270,A123,Cohort12,High,20160811,,,,0.702,,,0.699,HP,,,
Nonbleached,W270,A124,Cohort18,Ambient,20160811,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W270,A125,Cohort15,Ambient,20160811,20:26,712,2446,0.708,411,1406,0.707,HP,21:17,,
